A600,Helicopter,1P/S,Light,F,F,F,I,I,,ROTORWAY,A-600 Talon,,,,,,,,,,,,,,,,,,,,,,,,
A660,Fixed-wing,1T/S+,Light,F,F,F,I,III,,AYRES,S-2R-T660 Turbo Thrush AYRES,Turbo Thrush (S-2R-T660) THRUSH,S-2R-660 Turbo Thrush 660 THRUSH,Turbo Thrush 660,,,,,,,,,,,,,,,,,,,,,
A7,Fixed-wing,1J/L,Medium,E,D,D,G,III,,LTV,A-7 Corsair 2 LTV,Corsair 2 LTV,EA-7 Corsair 2 LTV,TA-7 Corsair 2 VOUGHT,A-7 Corsair 2 VOUGHT,Corsair 2 VOUGHT,TA-7 Corsair 2,,,,,,,,,,,,,,,,,,
A700,Fixed-wing,2J/S,Light,F,F,F,I,III,,ADAM (2),A-700 AdamJet ADAM (2),AdamJet,,,,,,,,,,,,,,,,,,,,,,,
A743,Fixed-wing,2J/L,Medium,D,D,C,F,III,,ANTONOV,An-74-300,,,,,,,,,,,,,,,,,,,,,,,,
A748,Fixed-wing,2T/L,Medium,D,D,C,F,III,5,AIL,748 AVRO,748 AVRO,C-91 BRITISH AEROSPACE,BAe-748 HAWKER SIDDELEY,Andover HAWKER SIDDELEY,C-91 HAWKER SIDDELEY,HS-748 HAWKER SIDDELEY,HS-748 Andover HAWKER SIDDELEY,HS-780 Andover HINDUSTAN,748 KANPUR,748,,,,,,,,,,,,,,
A890,Fixed-wing,1P/S,Light,F,F,F,I,I,,AVIATIKA,MAI-890 OSKBES-MAI,MAI-890,,,,,,,,,,,,,,,,,,,,,,,
A9,Fixed-wing,1P/S,Light,F,F,F,I,I,,AAMSA,A-9 Quail AAMSA,Quail AERO COMMANDER,A-9 Ag Commander AERO COMMANDER,Ag Commander (A-9) AIRCRAFT PARTS,A-9 Quail AIRCRAFT PARTS,Quail IMCO,Callair A-9 NORTH AMERICAN ROCKWELL,A-9 Quail Commander NORTH AMERICAN ROCKWELL,A-9 Sparrow Commander NORTH AMERICAN ROCKWELL,Quail Commander NORTH AMERICAN ROCKWELL,Sparrow Commander,,,,,,,,,,,,,,
A900,Fixed-wing,1P/S,Light,F,F,F,I,I,,AVIATIKA,Acrobat AVIATIKA,MAI-900 Acrobat OSKBES-MAI,Acrobat OSKBES-MAI,MAI-900 Acrobat,,,,,,,,,,,,,,,,,,,,,
A910,Fixed-wing,1P/S,Light,F,F,F,I,I,,AVIATIKA,MAI-910 AVIATIKA,MAI-960 OSKBES-MAI,Interfly OSKBES-MAI,MAI-910 Interfly OSKBES-MAI,MAI-960 Interfly,,,,,,,,,,,AMERICAN,AA-1' Tr2 AMERICAN,AA-1 Trainer AMERICAN,AA-1 Yankee AMERICAN,Tr2 AMERICAN,Trainer AMERICAN,Yankee GRUMMAN AMERICAN,AA-1 Lynx GRUMMAN AMERICAN,AA-1 T-Cat,
AA1,Fixed-wing,1P/S,Light,F,F,F,I,I,1,GRUMMAN AMERICAN,AA-1 Tr2 GRUMMAN AMERICAN,AA-1 Trainer GRUMMAN AMERICAN,Lynx GRUMMAN AMERICAN,T-Cat GRUMMAN AMERICAN,Tr2 GRUMMAN AMERICAN,Trainer GULFSTREAM AMERICAN,AA-1 Lynx GULFSTREAM AMERICAN,AA-1 T-Cat GULFSTREAM AMERICAN,Lynx GULFSTREAM AMERICAN,T-Cat,,,,,,,,,,,,,,,
AA37,Fixed-wing,2P/S,Light,F,F,F,I,II,,AEROPRACT,A-37,,,,,,,,,,,,,,,,,,,,,,,,
AA5,Fixed-wing,1P/S,Light,F,F,F,I,I,1,GRUMMAN AMERICAN,Cheetah GRUMMAN AMERICAN,Tiger GRUMMAN AMERICAN,Traveler GULFSTREAM AMERICAN,AA-5 Cheetah GULFSTREAM AMERICAN,AA-5 Tiger GULFSTREAM AMERICAN,Cheetah GULFSTREAM AMERICAN,Tiger TIGER,AG-5 Tiger TIGER,Tiger,,,,,,,,,,,,,,,,
AAT3,Fixed-wing,1P/S,Light,F,F,F,I,I,,AERO (3),AT-3,,,,,,,,,,,,,,,,,,,,,,,,
AAT4,Fixed-wing,1P/S,Light,F,F,F,I,I,,AERO (3),AT-4 GOBOSH,G-700,,,,,,,,,,,,,,,,,,,,,,,
AB11,Fixed-wing,1P/S,Light,F,F,F,I,I,,AERO BOERO,AB-115,,,,,,,,,,,,,,,,,,,,,,,,
AB15,Fixed-wing,1P/S,Light,F,F,F,I,I,,AERO BOERO,AB-150,,,,,,,,,,,,,,,,,,,,,,,,
AB18,Fixed-wing,1P/S,Light,F,F,F,I,I,,AERO BOERO,AB-180,,,,,,,,,,,,,,,,,,,,,,,,
AB95,Fixed-wing,1P/S,Light,F,F,F,I,I,,AERO BOERO,AB-95,,,,,,,,,,,,,,,,,,,,,,,,
AC10,Gyrocopter,1P/S,Light,F,F,F,I,I,,FD-COMPOSITES,AC-10 Arrow-Copter FD-COMPOSITES,Arrow-Copter,,,,,,,,,,,,,,,,,,,,,,,
AC11,Fixed-wing,1P/S,Light,F,F,F,I,I,2,COMMANDER,Commander 114 COMMANDER,Commander 115 NORTH AMERICAN ROCKWELL,112 Commander 112 NORTH AMERICAN ROCKWELL,Commander 112 ROCKWELL,112 Alpine Commander ROCKWELL,112 Commander 112 ROCKWELL,114 Commander 114 ROCKWELL,114 Gran Turismo Commander ROCKWELL,Alpine Commander ROCKWELL,Commander 112 ROCKWELL,Commander 114 ROCKWELL,Gran Turismo Commander,,,,,,,,,,,,,
AC31,Helicopter,1T/S,Light,F,F,F,I,I,,AVIOCOPTER,AC-311,,,,,,,,,,,,,,,,,,,,,,,,
AC33,Helicopter,3T/S+,Medium,F,E,E,H,I,,AVIOCOPTER,AC-313,,,,,,,,,,,,,,,,,,,,,,,,
AC4,Fixed-wing,1P/S,Light,F,F,F,I,I,,LIGHT WING,AC-4,,,,,,,,,,,,,,,,,,,,,,,,
AC50,Fixed-wing,2P/S,Light,F,F,F,I,II,3,AERO (1),Commander 500 AERO COMMANDER,500 Commander 500 AERO COMMANDER,Commander 500 NORTH AMERICAN ROCKWELL,500 Commander 500 NORTH AMERICAN ROCKWELL,500 Shrike Commander NORTH AMERICAN ROCKWELL,Commander 500 NORTH AMERICAN ROCKWELL,Shrike Commander ROCKWELL,500 Shrike Commander ROCKWELL,Shrike Commander,,,,,,,,,,,,,,,,
AC52,Fixed-wing,2P/S,Light,F,F,F,I,II,1,AERO (1),Commander 520,,,,,,,,,,,,,,,,,,,,,,,,
AC56,Fixed-wing,2P/S,Light,F,F,F,I,II,4,AERO (1),Commander 560 AERO (1),L-26B Commander 560 AERO (1),U-4A Commander 560 AERO COMMANDER,560 Commander 560 AERO COMMANDER,Commander 560,,,,,,,,,,,,,,,,,,,,
AC5A,Fixed-wing,1P/S,Light,F,F,F,I,I,,NANJING,AC-500 Aircar NANJING,Aircar,,,,,,,,,,,,,,,,,,,,,,,
AC5M,Fixed-wing,1P/S,Light,F,F,F,I,I,,AVIASTROITEL,AC-5M,,,,,,,,,,,,,,,,,,,,,,,,
AC68,Fixed-wing,2P/S,Light,F,F,F,I,II,5,AERO (1),U-4B Commander 680 Super AERO (1),U-9 Commander 680 Super AERO COMMANDER,680F Commander 680F AERO COMMANDER,680FP Commander 680FP AERO COMMANDER,Commander 680F AERO COMMANDER,Commander 680FP,,,,,,,,,,,,,,,,,,,
AC6L,Fixed-wing,2P/S,Light,F,F,F,I,II,6,AERO COMMANDER,680FL Grand Commander AERO COMMANDER,Grand Commander NORTH AMERICAN ROCKWELL,680FL Courser Commander NORTH AMERICAN ROCKWELL,680FL Grand Commander NORTH AMERICAN ROCKWELL,685 Commander 685 NORTH AMERICAN ROCKWELL,Commander 685 NORTH AMERICAN ROCKWELL,Courser Commander NORTH AMERICAN ROCKWELL,Grand Commander ROCKWELL,685 Commander 685 ROCKWELL,Commander 685,,,,,,,,,,,,,,,
AC72,Fixed-wing,2P/S,Light,F,F,F,I,II,4,AERO (1),Commander 720 Alti Cruiser AERO COMMANDER,720 Alti Cruiser AERO COMMANDER,Alti Cruiser,,,,,,,,,,,,,,,,,,,,,,
AC80,Fixed-wing,2T/S,Light,F,F,F,I,II,4,AERO COMMANDER,680T Turbo Commander AERO COMMANDER,680V Turbo Commander AERO COMMANDER,Turbo Commander (680) NORTH AMERICAN ROCKWELL,680V Turbo Commander NORTH AMERICAN ROCKWELL,680W Turbo 2 Commander NORTH AMERICAN ROCKWELL,681 Hawk Commander NORTH AMERICAN ROCKWELL,Hawk Commander NORTH AMERICAN ROCKWELL,Turbo 2 Commander NORTH AMERICAN ROCKWELL,Turbo Commander (680),,,,,,,,,,,,,,,,
AC90,Fixed-wing,2T/S,Light,F,F,F,I,II,4,GULFSTREAM AEROSPACE,690 Jetprop Commander 840 GULFSTREAM AEROSPACE,690 Jetprop Commander 900 GULFSTREAM AEROSPACE,Jetprop Commander 840 GULFSTREAM AEROSPACE,Jetprop Commander 900 GULFSTREAM AMERICAN,690 Jetprop Commander 840 GULFSTREAM AMERICAN,690 Jetprop Commander 900 GULFSTREAM AMERICAN,Jetprop Commander 840 GULFSTREAM AMERICAN,Jetprop Commander 900 NORTH AMERICAN ROCKWELL,690 Turbo Commander 690 NORTH AMERICAN ROCKWELL,Turbo Commander 690 ROCKWELL,690 Jetprop Commander 840 ROCKWELL,690 Turbo Commander 690 ROCKWELL,Jetprop Commander 840 ROCKWELL,Turbo Commander 690,,,,,,,,,,,
AC95,Fixed-wing,2T/S,Light,F,F,F,I,II,6,GULFSTREAM AEROSPACE,695 Jetprop Commander 1000 GULFSTREAM AEROSPACE,695 Jetprop Commander 980 GULFSTREAM AEROSPACE,Jetprop Commander 1000 GULFSTREAM AEROSPACE,Jetprop Commander 980 GULFSTREAM AMERICAN,695 Jetprop Commander 1000 GULFSTREAM AMERICAN,695 Jetprop Commander 980 GULFSTREAM AMERICAN,Jetprop Commander 1000 GULFSTREAM AMERICAN,Jetprop Commander 980 ROCKWELL,695 Jetprop Commander 1000 ROCKWELL,695 Jetprop Commander 980 ROCKWELL,Jetprop Commander 1000 ROCKWELL,Jetprop Commander 980,,,,,,,,,,,,,
ACAM,Fixed-wing,2P/S,Light,F,F,F,I,II,,LEZA,Air Cam LEZA-LOCKWOOD,Air Cam LOCKWOOD,Air Cam,,,,,,,,,,,,,,,,,,,,,,
ACAR,Fixed-wing,1P/S,Light,F,F,F,I,I,,AUSTER,Autocar AUSTER,J-5B Autocar AUSTER,J-5E Autocar AUSTER,J-5G Autocar AUSTER,J-5H Autocar AUSTER,J-5P Autocar AUSTER,J-5T Autocar AUSTER,J-5V Autocar,,,,,,,,,,,,,,,,,
ACED,Fixed-wing,1P/S,Light,F,F,F,I,I,,POWELL,Acey Deucy POWELL,P-70 Acey Deucy,,,,,,,,,,,,,,,,,,,,,,,
ACJR,Fixed-wing,1P/S,Light,F,F,F,I,I,,SPENCER,Air Car Junior,,,,,,,,,,,,,,,,,,,,,,,,
ACPL,Fixed-wing,1P/S,Light,F,F,F,I,I,,OPTION AIR,Acapella,,,,,,,,,,,,,,,,,,,,,,,,
ACR2,Fixed-wing,1P/S,Light,F,F,F,I,I,,ACRO SPORT,Acro-Sport 2 EAA,Acro-Sport 2,,,,,,,,,,,,,,,,,,,,,,,
ACRD,Fixed-wing,2P/S,Light,F,F,F,I,II,,AVIA (3),Accord,,,,,,,,,,,,,,,,,,,,,,,,
ACRO,Fixed-wing,1P/S,Light,F,F,F,I,I,,ACRO SPORT,Acro-Sport 1 ACRO SPORT,Super Acro-Sport EAA,Acro-Sport 1 EAA,Super Acro-Sport,,,,,,,,,,,,,,,,,,,,,
ACSR,Fixed-wing,1P/S,Light,F,F,F,I,I,,VICTA,Aircruiser,,,,,,,,,,,,,,,,,,,,,,,,
AD20,Fixed-wing,1P/S,Light,F,F,F,I,I,,BEIJING KEYUAN,AD-200 NANJING UNIVERSITY,AD-200,,,,,,,,,,,,,,,,,,,,,,,
ADEL,Gyrocopter,1P/S,Light,F,F,F,I,I,,USTINOV,Adel,,,,,,,,,,,,,,,,,,,,,,,,
ADVE,Fixed-wing,1P/S,Light,F,F,F,I,I,,AUSTER,Adventurer AUSTER,J-5 Adventurer,,,,,,,,,,,,,,,,,,,,,,,
ADVN,Fixed-wing,1P/S,Light,F,F,F,I,I,,ADVENTURE AIR,Adventurer,,,,,,,,,,,,,,,,,,,,,,,,
AE45,Fixed-wing,2P/S,Light,F,F,F,I,II,,AERO (2),45 LET,Aero 45 LET,Super Aero 145,,,,,,,,,,,,,,,,,,,,,,
AEA1,Fixed-wing,1P/S,Light,F,F,F,I,I,,AMERICAN EAGLE,A-1 AMERICAN EAGLE,A-101,,,,,,,,,,,,,,,,,,,,,,,
AERK,Fixed-wing,1P/S,Light,F,F,F,I,I,,AERONCA,CF Scout AERONCA,K Scout AERONCA,K Sea Scout AERONCA,Scout AERONCA,Sea Scout,,,,,,,,,,,,,,,,,,,,
AEST,Fixed-wing,2P/S,Light,F,F,F,I,II,5,MACHEN,Superstar PIPER,Aerostar PIPER,PA-60 Aerostar TED SMITH,Aerostar,,,,,,,,,,,,,,,,,,,,,
AFOX,Fixed-wing,1P/S,Light,F,F,F,I,I,,HALLEY,Apollo Fox,,,,,,,,,,,,,,,,,,,,,,,,
AG02,Fixed-wing,1P/S,Light,F,F,F,I,I,,GATARD,AG-02 Poussin GATARD,Poussin,,,,,,,,,,,,,,,,,,,,,,,
AGSH,Fixed-wing,1P/S,Light,F,F,F,I,I,,AERO GARE,Sea Hawker AERO-COMPOSITES,Sea Hawker,,,,,,,,,,,,,,,,,,,,,,,
AI10,Fixed-wing,1P/S,Light,F,F,F,I,I,,IKAR,Ai-10 Ikar IKAR,Ikar,,,,,,,,,,,,,,,,,,,,,,,
AIGT,Fixed-wing,1P/S,Light,F,F,F,I,I,,AUSTER,Aiglet Trainer AUSTER,J-5F Aiglet Trainer AUSTER,J-5K Aiglet Trainer AUSTER,J-5L Aiglet Trainer,,,,,,,,,,,,,,,,,,,,,
AIRD,Fixed-wing,1P/S,Light,F,F,F,I,I,,BEAGLE,A-109 Airedale BEAGLE,Airedale BEAGLE-AUSTER,A-109 Airedale BEAGLE-AUSTER,Airedale,,,,,,,,,,,,,,,,,,,,,
AIRL,Fixed-wing,2P/S,Light,F,F,F,I,II,,AERONIX,Airelle,,,,,,,,,,,,,,,,,,,,,,,,
AJ27,Fixed-wing,2J/L,Medium,E,D,D,G,III,,COMAC,ARJ-21-700 Xiangfeng COMAC,Xiangfeng,,,,,,,,,,,,,,,,,,,,,,,
